,L5,L5-,P_cons,P_prod,P_tot
2021-12-17 21:54:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:54:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:54:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:54:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:54:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:54:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:55:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:55:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:55:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:55:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:55:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:55:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:55:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:56:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:56:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:56:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:56:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:56:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:56:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:56:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:56:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:57:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:57:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:57:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:57:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:57:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:57:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:57:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:58:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:58:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:58:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:58:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:58:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:58:40+01:00,0.0,0.0,0.0,0.0,0.0
