,ECHASC_PV_Brun,ECHASC_PV_Brun-,ECHASC_PV_Gris-,ECHASC_PV_Gris,ECHASC_PV_Noir-,ECHASC_PV_Noir,ECHASC_Brun,ECHASC_Brun-,ECHASC_Gris,ECHASC_Gris-,ECHASC_Noir,ECHASC_Noir-,ECHBUA_Brun-,ECHBUA_Brun,ECHBUA_Gris,ECHBUA_Gris-,ECHBUA_Noir,ECHBUA_Noir-,ECHBUA_PV_Brun-,ECHBUA_PV_Brun,ECHBUA_PV_Gris,ECHBUA_PV_Gris-,ECHBUA_PV_Noir,ECHBUA_PV_Noir-,ECHL16_L16,ECHL16_L16-,ECHL05_L5,ECHL05_L5-,P_cons,P_prod,P_tot
2021-12-17 18:04:00+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,594.0000000409782,0.0,695.9999999962747,0.0,78.99999999790452,0.0,0.0,101.74999994342215,13.375000002270099,0.0,104.24999994575046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.9999999431893,0.0,0.0,0.0,2066.374999869595,11.000000000194632,2077.3749998697895
2021-12-17 18:04:08+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,594.9999999720603,0.0,692.9999999701977,0.0,79.99999998719431,0.0,0.0,101.74999991431832,13.24999998905696,0.0,104.49999995762482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2719.9999999720603,0.0,0.0,0.0,4298.499999762498,9.000000000014552,4307.499999762513
2021-12-17 18:04:16+01:00,0.0,0.0,0.0,5.000000000109139,0.0,6.000000000312866,594.0000000409782,0.0,693.9999999012798,0.0,78.00000000861473,0.0,0.0,90.49999993294477,13.374999994994141,0.0,93.49999992991798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1798.9999999990687,0.0,0.0,0.0,3351.3749998073763,11.000000000422006,3362.3749998077983
2021-12-17 18:04:24+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,594.0000000409782,0.0,695.9999999962747,0.0,79.99999998719431,0.0,0.0,87.37499991548248,13.374999994994141,0.0,90.12499995878898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.9999999664724,0.0,0.0,0.0,2063.8749998599906,11.000000000194632,2074.874999860185
2021-12-17 18:04:32+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,597.9999999981374,0.0,699.0000000223517,0.0,78.99999999790452,0.0,0.0,102.12499997578561,13.24999998905696,0.0,104.87499996088445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0000000381842,0.0,0.0,0.0,2078.2499999822903,9.000000000014552,2087.249999982305
2021-12-17 18:04:40+01:00,0.0,0.0,0.0,5.000000000109139,0.0,6.000000000312866,596.0000000195578,0.0,699.0000000223517,0.0,79.99999998719431,0.0,0.0,101.99999998440035,13.24999998905696,0.0,104.74999999860302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0000000381842,0.0,0.0,0.0,2075.0000000389264,11.000000000422006,2086.0000000393484
2021-12-17 18:04:48+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,599.9999999767169,0.0,705.0000000745058,0.0,79.99999998719431,0.0,0.0,95.12499996344559,13.24999998905696,0.0,99.49999998207204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.9999999906868,0.0,0.0,0.0,2072.8749999636875,9.999999999990905,2082.8749999636784
2021-12-17 18:04:56+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,599.0000000456348,0.0,703.999999910593,0.0,79.99999998719431,0.0,0.0,68.75000000582077,13.24999998905696,0.0,76.37499997508712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0000000381842,0.0,0.0,0.0,2021.3749999513766,11.000000000194632,2032.3749999515712
2021-12-17 18:05:04+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,6.000000000312866,597.9999999981374,0.0,692.9999999701977,0.0,78.99999999790452,0.0,0.0,67.12499994318932,12.999999977182597,0.0,74.37499999650754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.99999998603016,0.0,0.0,0.0,1997.4999998687508,12.000000000398359,2009.4999998691492
2021-12-17 18:05:12+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,606.000000028871,0.0,706.0000000055879,0.0,83.00000001327135,0.0,0.0,80.87499998509884,13.374999994994141,0.0,88.24999997159466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.0000000242144,0.0,0.0,0.0,4418.500000023641,9.999999999990905,4428.500000023632
