,Brun-,Brun,Gris,Gris-,Noir,Noir-,PV_Brun-,PV_Brun,PV_Gris,PV_Gris-,PV_Noir,PV_Noir-,P_cons,P_prod,P_tot
2021-12-17 00:12:40+01:00,0.0,82.49999998952262,20.000000011350494,0.0,97.6249999657739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.124999966647,0.0,200.124999966647
2021-12-17 00:12:48+01:00,0.0,82.49999998952262,20.375000014610123,0.0,98.25000003911555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.1250000432483,0.0,201.1250000432483
2021-12-17 00:12:56+01:00,0.0,82.37500002724119,19.75000000675209,0.0,97.74999998626299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.87500002025627,0.0,199.87500002025627
2021-12-17 00:13:04+01:00,0.0,77.50000001396984,19.62499999353895,0.0,92.87500000209548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.00000000960426,0.0,190.00000000960426
2021-12-17 00:13:12+01:00,0.0,59.12499999976717,19.75000000675209,0.0,74.8749999620486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.74999996856786,0.0,153.74999996856786
2021-12-17 00:13:20+01:00,0.0,82.62499998090789,19.75000000675209,0.0,97.6249999657739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.99999995343387,0.0,199.99999995343387
2021-12-17 00:13:28+01:00,0.0,82.37499999813735,19.75000000675209,0.0,97.87499997764826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9999999825377,0.0,199.9999999825377
2021-12-17 00:13:36+01:00,0.0,82.62499998090789,19.75000000675209,0.0,97.99999996903352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.3749999566935,0.0,200.3749999566935
2021-12-17 00:13:44+01:00,0.0,76.87499999883585,18.374999999650754,0.0,90.62499995343387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.87499995192047,0.0,185.87499995192047
2021-12-17 00:13:52+01:00,0.0,59.624999994412065,14.625000017986167,0.0,69.99999997788109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.24999999027932,0.0,144.24999999027932
2021-12-17 00:14:00+01:00,0.0,82.50000001862645,14.37500002066372,0.0,92.49999999883585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.37500003812602,0.0,189.37500003812602
2021-12-17 00:14:08+01:00,0.0,82.62500001001172,14.37500002066372,0.0,92.49999999883585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.50000002951128,0.0,189.50000002951128
2021-12-17 00:14:16+01:00,0.0,82.74999997229315,14.37500002066372,0.0,92.74999998160638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.87499997456325,0.0,189.87499997456325
2021-12-17 00:14:24+01:00,0.0,76.25000001280569,14.37500002066372,0.0,86.00000001024455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.62500004371395,0.0,176.62500004371395
2021-12-17 00:14:32+01:00,0.0,60.87499996647239,14.500000019324943,0.0,70.74999998440035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.12499997019768,0.0,146.12499997019768
2021-12-17 00:14:40+01:00,0.0,83.87499998207204,14.500000019324943,0.0,93.87499999138527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.24999999278225,0.0,192.24999999278225
2021-12-17 00:14:48+01:00,0.0,83.49999997881241,14.37500002066372,0.0,93.12499995576218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.9999999552383,0.0,190.9999999552383
2021-12-17 00:14:56+01:00,0.0,83.74999993247911,14.37500002066372,0.0,93.37499999674037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.4999999498832,0.0,191.4999999498832
2021-12-17 00:15:04+01:00,0.0,76.74999994924292,14.37500002066372,0.0,86.37499998440035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.499999954307,0.0,177.499999954307
